demo/inflicted,positioning/percent_farthest_from_ball,positioning/avg_distance_to_ball_no_possession,positioning/time_most_forward,positioning/percent_closest_to_ball,movement/percent_high_air,core/shots_against,positioning/avg_distance_to_ball,movement/count_powerslide,boost/bcpm,movement/percent_boost_speed,positioning/percent_most_forward,core/mvp,boost/time_boost_25_50,positioning/time_most_back,core/shooting_percentage,positioning/avg_distance_to_ball_possession,boost/bpm,boost/time_full_boost,core/shots,movement/time_powerslide,positioning/time_defensive_third,boost/time_boost_0_25,demo/taken,positioning/time_farthest_from_ball,core/assists,boost/amount_used_while_supersonic,boost/amount_collected_big,boost/amount_stolen,movement/time_ground,boost/amount_stolen_big,movement/avg_speed_percentage,movement/time_high_air,positioning/time_infront_ball,positioning/percent_behind_ball,positioning/time_offensive_half,boost/time_boost_50_75,movement/percent_low_air,boost/percent_boost_75_100,boost/count_stolen_big,positioning/goals_against_while_last_defender,positioning/percent_offensive_third,boost/count_collected_small,boost/avg_amount,boost/count_stolen_small,positioning/percent_infront_ball,movement/time_low_air,boost/amount_stolen_small,movement/time_boost_speed,movement/total_distance,movement/percent_ground,boost/amount_overfill,positioning/percent_defensive_third,boost/percent_boost_50_75,positioning/percent_defensive_half,positioning/percent_neutral_third,positioning/time_behind_ball,boost/time_zero_boost,core/goals_against,core/saves,boost/amount_collected_small,positioning/percent_offensive_half,movement/avg_powerslide_duration,movement/percent_supersonic_speed,movement/time_slow_speed,movement/time_supersonic_speed,boost/percent_zero_boost,boost/amount_collected,movement/percent_slow_speed,boost/count_collected_big,movement/avg_speed,boost/percent_full_boost,positioning/time_defensive_half,positioning/percent_most_back,core/score,positioning/avg_distance_to_mates,core/goals,positioning/time_closest_to_ball,positioning/time_neutral_third,boost/time_boost_75_100,positioning/time_offensive_third,boost/amount_overfill_stolen,boost/percent_boost_25_50,boost/percent_boost_0_25
2,27.754509,2330,141.9,43.22332,2.3781996,13,2206,0,163.1764,25.401413,39.621372,False,31.9,88.8,0.0,1750,202,24.28,2,0.0,196.26,257.49,1,99.4,0,214,518,241,298.19,100,55.173912,9.05,168.54,55.710308,124.91,16.29,19.262104,10.567584,1,3.0,18.171545,38,22.13,12,44.289696,73.3,141,96.66,439638,78.3597,81,51.574078,4.7659454,67.17559,30.254375,212.0,207.67,8,0,456,32.824406,0.0,2.856542,273.0,10.87,57.985703,974,71.74204,6,1269,6.7794714,255.63,24.794771,82,2335,0,154.8,115.13,36.12,69.15,0,9.332944,75.333534
1,41.073326,2777,123.1,29.011,1.828362,13,2534,18,118.61283,20.430422,34.372032,False,79.31,142.4,0.0,2004,172,15.08,0,7.31,225.5,218.86,0,147.1,0,412,363,299,257.6,275,47.608696,6.89,142.85,62.09266,101.71,20.79,29.813711,4.8533845,3,3.0,16.625093,29,26.92,2,37.907333,112.35,24,76.99,354257,68.35792,36,59.83972,6.2017126,73.009766,23.535187,233.99,94.78,8,0,345,26.990234,0.41,4.7208366,282.06,17.79,26.46451,708,74.84874,4,1095,4.210644,275.13,39.760983,80,2478,0,103.9,88.69,16.27,62.65,24,23.658384,65.28652
1,39.593452,2398,93.3,28.368793,2.6360319,13,2548,0,121.795944,23.626461,26.051264,False,65.94,158.8,0.0,2803,140,1.38,1,0.0,210.3,169.44,2,141.8,0,165,169,119,298.54,0,51.826088,9.97,130.27,65.55617,104.1,30.29,18.431072,11.502332,0,2.0,13.566536,49,25.75,10,34.443825,69.71,119,89.36,406390,78.9329,30,55.604027,10.08994,72.47561,30.829432,247.94,50.45,8,0,558,27.524391,0.0,2.8158214,278.21,10.65,14.086669,727,73.55772,2,1192,0.38532415,274.11,44.3402,32,2474,0,101.6,116.6,34.53,51.31,0,21.965355,56.442368
2,23.25906,2323,151.4,59.11096,5.9151115,3,1673,45,437.76175,38.264763,42.273968,True,110.46,131.3,53.846153,1420,454,39.78,13,6.09,143.53,85.99,0,83.3,1,263,2212,889,213.22,739,63.739132,22.73,74.99,80.484566,193.83,47.59,38.597862,34.67705,9,,35.030056,39,57.54,14,19.515434,148.32,150,147.04,508228,55.487026,503,37.35134,12.738564,49.558903,27.6186,309.27,12.16,0,0,401,50.441093,0.14,11.494523,193.06,44.17,3.3953202,2613,50.240723,31,1466,11.107388,190.44,36.66164,1306,2596,7,211.7,106.13,129.55,134.61,124,29.567173,23.017212
1,47.10448,2340,98.1,22.198023,1.1661114,3,2678,0,166.86212,24.013012,27.391521,False,91.82,151.4,0.0,2845,140,8.02,0,0.0,163.04,121.61,2,168.7,0,256,464,335,309.27,155,54.47826,4.41,103.94,72.51501,166.6,46.84,17.05537,13.783623,2,,32.001484,45,39.19,15,27.484993,64.5,180,90.81,421174,81.77851,135,43.112885,15.516099,55.945736,24.885635,274.23,31.05,0,0,532,44.05426,0.0,2.874369,276.49,10.87,8.669793,996,73.112625,6,1253,2.239348,211.57,42.273968,150,2569,1,79.5,94.11,41.61,121.02,44,30.41606,40.284218
0,37.275925,2441,111.3,19.992182,0.0,3,2443,1,164.01407,33.123596,31.07723,False,53.73,103.3,0.0,2384,204,14.44,0,0.35,115.19,235.83,2,133.5,1,121,498,429,281.0,176,56.652172,0.0,112.03,70.38202,200.83,0.72,25.710508,9.820125,2,,36.100464,41,21.01,21,29.617977,97.25,253,125.29,449309,74.28949,101,30.453403,0.22367889,46.905487,33.446133,266.22,112.87,0,0,481,53.094513,0.35,3.9814937,237.9,15.06,31.515608,979,62.89491,6,1303,4.031943,177.42,28.843468,112,2494,0,71.6,126.51,31.61,136.55,23,16.692038,73.26415
0,31.733704,3245,112.2,46.521667,2.6528413,5,2666,63,248.57588,34.823593,32.28034,True,44.78,145.1,100.0,2334,235,118.53,4,7.45,233.89,62.87,0,110.3,0,48,1112,392,173.19,334,59.391304,9.85,66.45,82.103424,91.44,44.95,50.702934,57.190147,4,,14.077566,32,61.57,6,17.89658,188.26,58,129.3,465307,46.644222,998,62.99219,12.610111,75.37301,22.930246,304.85,11.85,2,2,328,24.626987,0.12,8.168597,211.67,30.33,3.4092872,1440,57.007812,22,1366,34.1015,279.86,41.74579,919,3474,4,161.7,85.14,203.86,52.27,45,12.56242,17.637323
0,22.6135,2398,120.8,31.158297,0.6698123,5,2320,5,148.62766,24.822369,34.75459,False,100.11,88.4,100.0,2254,151,46.41,1,2.8,201.48,52.08,0,78.6,0,37,287,356,316.04,63,53.304348,2.47,114.46,68.96,108.52,36.31,13.626749,38.182533,2,1.0,15.639322,38,54.97,12,31.04,50.25,293,91.53,382530,85.70344,239,54.638645,11.907652,70.570854,29.722034,254.29,4.23,2,0,574,29.429153,0.56,0.9898574,273.56,3.65,1.2169861,861,74.187775,5,1226,13.352323,260.23,25.432995,164,3064,1,108.3,109.6,116.43,57.67,136,32.830486,17.07933
0,52.33328,2774,115.2,22.901203,0.7747906,5,3200,0,253.06406,30.264202,33.14345,False,64.99,140.6,0.0,3512,230,36.02,0,0.0,201.61,51.17,1,181.9,0,220,1017,348,277.12,252,55.565216,2.83,101.5,72.21157,94.27,55.39,23.355967,50.63878,3,1.0,13.300479,32,61.04,8,27.788424,85.31,96,110.54,417105,75.86925,792,55.19781,15.937735,74.190285,31.50171,263.76,37.47,2,0,449,25.80972,0.0,4.506502,238.25,16.46,10.780252,1466,65.229294,18,1278,10.363082,270.98,40.451122,18,3412,0,79.6,115.06,175.99,48.58,47,18.700006,14.723486
1,49.859028,3931,93.7,23.102598,0.0,5,3686,9,142.75851,20.165245,26.957823,False,112.24,167.2,33.333332,3456,158,8.04,3,5.86,239.61,131.08,0,173.3,1,292,238,156,282.45,0,47.173912,0.0,79.86,78.366516,86.44,47.92,23.486385,10.293846,0,2.0,10.304754,50,36.94,13,21.63348,86.7,156,74.44,342836,76.51361,62,64.90858,14.760057,76.584045,24.786673,289.29,23.27,5,1,589,23.415956,0.65,2.6764188,284.83,9.88,6.694862,827,77.15833,3,1085,2.3131366,282.71,48.104034,335,4045,1,80.3,91.5,33.42,38.04,0,34.571556,40.37455
0,26.065943,2400,126.6,42.954144,0.0,5,2410,10,182.63422,25.889557,36.42327,False,25.95,100.5,50.0,2379,217,9.66,2,4.77,171.25,279.63,0,90.6,0,258,425,277,302.82,0,55.0,0.0,120.24,67.563194,147.66,22.39,18.309101,5.263005,0,2.0,23.926298,54,21.79,23,32.436806,67.87,277,95.97,400568,81.6909,84,46.19888,6.467546,60.166176,29.874825,250.45,148.09,5,1,633,39.833824,0.48,3.9035313,260.25,14.47,42.60602,1058,70.20691,5,1265,2.7792163,223.03,28.914207,231,3317,1,149.3,110.74,18.22,88.69,0,7.495883,80.77356
0,41.97595,2923,138.5,32.9996,0.0,5,2808,6,140.85966,17.555647,39.846943,False,116.62,130.1,0.0,2661,147,16.74,0,3.38,174.55,168.42,0,145.9,0,108,87,276,267.14,0,49.434784,0.0,115.12,68.55847,140.82,29.64,27.038837,5.154018,0,1.0,24.80472,47,28.66,23,31.441525,99.0,276,64.28,337852,72.96117,12,47.673023,8.933631,61.540348,27.52226,251.02,81.3,5,0,729,38.45965,0.56,3.5067596,289.03,12.84,23.3903,816,78.93759,1,1137,4.816158,225.33,37.430237,120,3836,0,114.7,100.77,17.1,90.82,0,35.1498,50.762554
0,45.986435,2893,114.4,28.71679,0.6278645,5,2830,1,255.05937,28.355324,32.334652,False,81.23,153.2,100.0,2778,277,13.23,2,0.17,236.18,158.05,0,162.7,1,150,612,249,268.8,100,56.95652,2.37,130.55,65.41355,81.2,35.87,28.16118,17.535814,1,1.0,9.762624,70,36.24,13,34.586445,106.3,149,107.03,423749,71.21096,201,62.57087,10.750464,78.487785,27.666508,246.91,73.74,5,0,892,21.51221,0.17,5.0389447,251.41,19.02,20.842285,1504,66.605736,8,1310,3.7394009,296.26,43.3013,440,2883,2,101.6,104.43,58.51,36.85,6,24.345142,47.36858
0,31.423628,2383,96.7,35.82597,5.149281,5,2453,12,220.23865,31.237467,29.35908,False,50.6,110.5,100.0,2496,198,65.55,2,3.4,198.51,102.04,0,103.5,1,141,836,85,196.82,0,56.47826,18.23,130.69,63.08505,95.34,69.37,39.25656,33.81726,0,2.0,12.470342,32,47.14,8,36.91495,138.98,85,110.59,412889,55.59416,163,56.069935,20.679686,73.070076,31.45972,223.34,62.96,5,0,373,26.929922,0.28,4.9798036,225.81,17.63,19.11528,1209,63.78273,10,1299,19.901632,258.69,33.548897,358,2649,2,118.0,111.38,113.44,44.15,0,15.084214,30.418839
