demo/inflicted,positioning/percent_farthest_from_ball,positioning/avg_distance_to_ball_no_possession,positioning/time_most_forward,positioning/percent_closest_to_ball,movement/percent_high_air,core/shots_against,positioning/avg_distance_to_ball,movement/count_powerslide,boost/bcpm,movement/percent_boost_speed,positioning/percent_most_forward,core/mvp,boost/time_boost_25_50,positioning/time_most_back,core/shooting_percentage,positioning/avg_distance_to_ball_possession,boost/bpm,boost/time_full_boost,core/shots,movement/time_powerslide,positioning/time_defensive_third,boost/time_boost_0_25,demo/taken,positioning/time_farthest_from_ball,core/assists,boost/amount_used_while_supersonic,boost/amount_collected_big,boost/amount_stolen,movement/time_ground,boost/amount_stolen_big,movement/avg_speed_percentage,movement/time_high_air,positioning/time_infront_ball,positioning/percent_behind_ball,positioning/time_offensive_half,boost/time_boost_50_75,movement/percent_low_air,boost/percent_boost_75_100,boost/count_stolen_big,positioning/goals_against_while_last_defender,positioning/percent_offensive_third,boost/count_collected_small,boost/avg_amount,boost/count_stolen_small,positioning/percent_infront_ball,movement/time_low_air,boost/amount_stolen_small,movement/time_boost_speed,movement/total_distance,movement/percent_ground,boost/amount_overfill,positioning/percent_defensive_third,boost/percent_boost_50_75,positioning/percent_defensive_half,positioning/percent_neutral_third,positioning/time_behind_ball,boost/time_zero_boost,core/goals_against,core/saves,boost/amount_collected_small,positioning/percent_offensive_half,movement/avg_powerslide_duration,movement/percent_supersonic_speed,movement/time_slow_speed,movement/time_supersonic_speed,boost/percent_zero_boost,boost/amount_collected,movement/percent_slow_speed,boost/count_collected_big,movement/avg_speed,boost/percent_full_boost,positioning/time_defensive_half,positioning/percent_most_back,core/score,positioning/avg_distance_to_mates,core/goals,positioning/time_closest_to_ball,positioning/time_neutral_third,boost/time_boost_75_100,positioning/time_offensive_third,boost/amount_overfill_stolen,boost/percent_boost_25_50,boost/percent_boost_0_25
2,33.00061,2747,127.2,35.561504,3.0666518,3,2692,0,409.62662,35.292816,37.01656,True,61.53,121.9,100.0,2700,435,76.32,2,0.0,189.12,118.72,0,113.4,1,584,1974,137,227.8,59,61.304348,11.07,97.3,73.0456,120.26,60.63,33.82736,29.219557,1,,22.214529,26,46.56,7,26.954403,122.11,78,127.4,468788,63.105988,161,52.390717,17.815584,66.685135,25.39476,263.68,58.16,2,1,372,33.314865,0.0,10.748519,194.78,38.8,16.92518,2346,53.95867,22,1410,22.209934,240.72,35.4742,488,3002,2,122.2,91.67,99.44,80.19,40,18.080042,34.884815
0,35.21229,3066,117.6,34.950382,0.9210854,3,2887,1,196.083,22.99394,34.222855,False,44.91,133.8,0.0,2748,166,79.68,0,0.57,198.95,116.19,0,121.0,0,286,889,147,241.72,87,52.173912,3.33,96.85,73.211815,108.25,44.7,32.218628,36.896328,1,2.0,21.646292,15,50.37,5,26.788183,116.48,60,83.13,392871,66.86029,218,55.028492,13.70619,70.05781,23.325222,264.69,45.87,2,0,234,29.94219,0.57,3.9803057,264.01,14.39,13.3486595,1123,73.02575,11,1200,23.18773,253.28,38.93723,330,2951,2,120.1,84.33,120.33,78.26,12,13.770582,35.626896
0,35.416,2723,110.1,33.087914,0.20740004,3,2851,5,225.06766,29.611193,32.040276,False,64.02,113.3,50.0,2966,249,64.43,2,1.39,183.42,114.28,0,121.7,1,145,980,140,257.92,0,56.260868,0.75,84.05,76.75737,129.73,38.41,28.469112,29.776411,0,,21.384327,29,44.63,13,23.24263,102.95,140,107.08,433911,71.323494,78,50.721752,12.446534,64.12533,27.893923,277.57,40.44,2,0,309,35.874676,0.28,3.3985949,242.25,12.29,11.768471,1289,66.990204,11,1294,18.749819,231.89,32.971508,262,3076,1,113.7,100.87,91.89,77.33,16,20.745302,37.031757
0,37.39487,2456,117.8,32.767803,1.3216964,4,2425,2,284.60843,27.701876,34.28106,False,58.86,122.8,100.0,2382,236,39.35,1,0.52,183.49,89.96,1,128.5,0,289,1282,228,248.75,73,52.47826,4.74,122.77,65.76791,136.09,82.02,29.317123,30.318764,1,1.0,22.002565,30,52.37,13,34.2321,105.14,155,99.35,398198,69.361176,329,51.162724,24.758512,62.05281,26.834707,235.87,30.64,5,1,348,37.947186,0.26,3.839505,245.52,13.77,8.916567,1630,68.458626,17,1207,11.451269,222.54,35.73611,283,2775,1,112.6,96.24,100.44,78.91,26,17.767448,27.155277
0,34.950382,2416,120.7,38.093296,2.2408578,4,2554,21,245.322,30.36485,35.12499,False,64.1,120.3,50.0,2635,271,34.56,2,4.74,176.01,164.25,0,120.1,0,49,961,123,224.24,0,56.260868,8.15,114.87,68.416275,126.69,44.58,36.103935,18.76358,0,1.0,19.689304,39,43.95,11,31.583721,131.31,123,110.44,434445,61.655212,44,48.39428,13.269042,65.16634,31.916414,248.83,79.48,5,0,444,34.833652,0.23,3.7502403,239.63,13.64,23.12953,1405,65.8849,10,1294,10.05733,237.01,35.008583,280,2775,1,130.9,116.08,63.04,71.61,0,19.079084,48.888294
0,33.175217,2597,115.7,36.580044,1.407863,4,2675,14,204.11488,27.439415,33.669933,False,57.68,121.6,0.0,2769,241,52.59,0,2.86,187.34,185.26,1,114.0,1,73,633,218,259.02,0,55.652172,5.06,101.02,71.892044,128.91,62.64,26.524027,8.825635,0,3.0,17.43691,46,29.06,19,28.107958,95.33,218,98.62,412868,72.068115,166,52.124313,18.68958,64.13288,30.438774,258.38,61.43,5,0,536,35.867115,0.2,4.0176954,246.35,14.44,17.876785,1169,68.54289,8,1280,15.304252,230.5,35.386898,146,2824,0,125.7,109.4,29.58,62.67,0,17.20969,55.275093
0,44.553528,2550,86.1,24.793648,0.8051435,6,2563,34,195.66034,17.093311,26.91971,False,66.16,135.7,33.333332,2390,144,81.46,3,4.57,193.98,28.96,0,142.5,0,83,758,184,242.89,100,49.47826,2.73,81.76,75.887695,93.04,78.29,27.56068,45.53877,1,2.0,15.63053,26,60.58,8,24.112303,93.45,84,57.96,353420,71.63417,351,57.20774,24.587795,72.560234,27.161734,257.32,19.03,5,0,285,27.43976,0.13,2.5923088,272.33,8.79,5.9498506,1043,80.31438,11,1138,25.468985,246.03,42.427464,266,2381,1,79.3,92.1,145.0,53.0,0,20.778244,9.095192
1,28.014008,2002,102.3,36.08054,1.0542804,6,2064,3,119.49725,21.669981,31.984743,False,86.55,118.7,0.0,2086,108,19.46,0,1.4,157.98,72.12,0,89.6,1,20,179,214,215.61,47,50.391304,3.5,74.89,77.441414,120.51,62.0,33.999035,27.41357,1,,18.907764,40,43.41,14,22.55859,112.87,167,71.94,353203,64.94668,122,47.587204,20.394066,63.69962,33.505028,257.09,23.2,5,0,458,36.300377,0.47,2.5212364,251.67,8.37,7.253627,637,75.808784,3,1159,6.084292,211.47,37.112305,136,2175,0,115.4,111.23,83.34,62.77,52,28.469458,23.722904
0,29.764883,2083,131.8,39.332165,1.2828563,6,2077,6,206.72836,32.41829,41.208103,False,78.48,75.0,0.0,2019,202,28.53,0,1.23,148.06,85.33,1,95.2,0,58,626,217,239.32,96,54.913044,4.29,98.95,70.410576,118.32,35.76,27.152298,36.379864,1,3.0,17.8219,43,50.92,10,29.589426,90.8,121,108.41,380794,71.56484,489,44.273666,11.399789,64.61828,37.90443,235.46,30.26,5,0,476,35.381718,0.21,3.654197,213.78,12.22,9.46098,1102,63.927513,11,1263,8.920085,216.09,23.449224,56,2284,0,125.8,126.76,114.12,59.6,3,25.018332,27.202015
1,32.359932,2773,118.2,31.672087,0.9275723,3,2819,51,205.79039,26.203175,36.95598,True,80.73,97.3,100.0,2744,197,31.29,3,9.5,161.97,125.72,0,103.5,0,26,522,207,226.46,77,52.565216,3.13,68.33,79.750465,118.91,49.83,31.961237,17.613398,1,1.0,19.76055,51,41.73,11,20.249525,107.85,130,88.42,374576,67.11119,103,47.999645,16.0189,64.76114,32.239807,269.11,33.03,1,0,575,35.238857,0.19,3.3102179,237.85,11.17,10.327039,1097,70.486595,6,1209,9.783016,218.53,30.421461,473,3050,3,101.3,108.79,54.79,66.68,23,25.952356,40.415337
