demo/inflicted,positioning/percent_farthest_from_ball,positioning/avg_distance_to_ball_no_possession,positioning/time_most_forward,positioning/percent_closest_to_ball,movement/percent_high_air,core/shots_against,positioning/avg_distance_to_ball,movement/count_powerslide,boost/bcpm,movement/percent_boost_speed,positioning/percent_most_forward,core/mvp,boost/time_boost_25_50,positioning/time_most_back,core/shooting_percentage,positioning/avg_distance_to_ball_possession,boost/bpm,boost/time_full_boost,core/shots,movement/time_powerslide,positioning/time_defensive_third,boost/time_boost_0_25,demo/taken,positioning/time_farthest_from_ball,core/assists,boost/amount_used_while_supersonic,boost/amount_collected_big,boost/amount_stolen,movement/time_ground,boost/amount_stolen_big,movement/avg_speed_percentage,movement/time_high_air,positioning/time_infront_ball,positioning/percent_behind_ball,positioning/time_offensive_half,boost/time_boost_50_75,movement/percent_low_air,boost/percent_boost_75_100,boost/count_stolen_big,positioning/goals_against_while_last_defender,positioning/percent_offensive_third,boost/count_collected_small,boost/avg_amount,boost/count_stolen_small,positioning/percent_infront_ball,movement/time_low_air,boost/amount_stolen_small,movement/time_boost_speed,movement/total_distance,movement/percent_ground,boost/amount_overfill,positioning/percent_defensive_third,boost/percent_boost_50_75,positioning/percent_defensive_half,positioning/percent_neutral_third,positioning/time_behind_ball,boost/time_zero_boost,core/goals_against,core/saves,boost/amount_collected_small,positioning/percent_offensive_half,movement/avg_powerslide_duration,movement/percent_supersonic_speed,movement/time_slow_speed,movement/time_supersonic_speed,boost/percent_zero_boost,boost/amount_collected,movement/percent_slow_speed,boost/count_collected_big,movement/avg_speed,boost/percent_full_boost,positioning/time_defensive_half,positioning/percent_most_back,core/score,positioning/avg_distance_to_mates,core/goals,positioning/time_closest_to_ball,positioning/time_neutral_third,boost/time_boost_75_100,positioning/time_offensive_third,boost/amount_overfill_stolen,boost/percent_boost_25_50,boost/percent_boost_0_25
1,29.259293,1941,105.7,42.146267,0.73227555,4,1992,0,294.87744,32.490086,30.95803,False,66.52,119.5,100.0,2037,317,17.5,2,0.0,126.05,207.92,0,99.9,0,303,1256,468,218.55,287,58.0,2.64,131.77,63.450012,180.59,27.79,38.646954,13.1123495,3,1.0,35.016087,36,34.68,15,36.54998,139.33,181,117.13,442978,60.620766,52,34.963383,7.989305,49.908466,30.020525,228.75,135.33,4,0,422,50.091537,0.0,5.9887385,221.79,21.59,39.63624,1678,61.521183,13,1334,5.1255016,179.93,34.999855,330,2362,2,143.9,108.23,45.61,126.24,12,19.123732,59.774605
2,47.00817,2657,137.8,32.5689,2.1150331,4,2546,33,329.3208,39.340157,40.359665,False,61.99,126.2,0.0,2437,343,29.06,2,3.44,123.04,167.42,0,160.5,0,414,1452,331,208.15,130,59.086956,7.52,117.52,66.94698,179.21,35.04,39.341866,19.160578,2,2.0,35.30305,39,40.79,18,33.053017,139.88,201,139.87,441062,58.543106,166,34.60554,10.711338,49.5964,30.091408,238.03,94.05,4,0,422,50.403603,0.1,7.4422,189.21,26.46,27.54591,1874,53.21764,17,1359,8.511262,176.34,36.96219,136,2769,0,111.2,106.99,62.68,125.52,69,18.949654,51.17843
1,28.995695,2001,104.9,26.769764,1.5681577,4,2189,5,136.7191,36.036987,30.72372,False,69.21,112.7,0.0,2393,179,11.11,1,0.84,120.36,170.53,1,99.0,1,174,348,338,217.43,100,58.304348,5.63,132.38,63.12843,192.57,21.75,37.86976,18.007652,1,1.0,35.30067,36,33.64,20,36.87157,135.96,238,129.38,445050,60.562084,51,33.523663,6.8198924,46.36381,31.175669,226.65,85.78,4,0,430,53.63618,0.17,3.4649878,217.2,12.44,25.123745,778,60.49802,4,1341,3.2539613,166.46,33.008232,126,2317,0,91.4,111.93,57.43,126.74,0,21.701368,53.471092
0,37.92871,2590,110.4,37.40152,2.336657,5,2363,1,279.5888,25.037596,32.334595,True,59.21,146.2,100.0,2138,302,59.99,2,0.31,220.67,128.47,1,129.5,0,167,1290,198,216.01,100,53.95652,8.39,102.07,71.573,102.03,58.93,37.503483,28.680088,1,2.0,18.406393,27,46.79,9,28.427004,134.66,98,89.9,409750,60.159863,234,61.457695,17.04263,71.58414,20.135912,256.99,71.67,2,1,301,28.415863,0.31,6.731465,244.99,24.17,20.991125,1591,68.230934,16,1241,17.570219,257.03,42.819904,393,2730,2,127.7,72.3,99.17,66.09,0,17.123606,37.153687
1,36.610725,2809,130.0,30.460125,1.9426562,5,2509,4,265.53027,37.459587,38.075157,False,52.25,104.7,100.0,2234,239,73.12,2,1.46,193.46,60.89,3,125.0,1,260,1298,322,253.84,263,57.260868,6.85,129.91,63.15864,111.44,96.19,26.06846,35.071342,4,,18.144693,20,55.63,5,36.84136,91.92,59,132.09,425748,71.98888,341,54.86515,29.83561,68.39568,26.99016,222.71,15.39,2,0,213,31.604322,0.36,3.9958029,206.44,14.09,4.5075126,1511,58.54461,17,1317,21.415812,241.17,30.665144,374,2678,2,104.0,95.17,113.07,63.98,136,16.206575,18.886477
0,29.640043,2172,106.6,32.686058,0.8147146,5,2290,0,103.505844,17.216715,31.221628,False,41.63,105.9,0.0,2403,122,12.16,0,0.0,206.3,211.65,0,101.2,0,50,287,72,284.43,0,47.565216,2.95,137.13,62.128197,105.64,3.4,20.632992,20.431509,0,,15.432628,25,22.85,6,37.871796,74.71,72,62.34,363864,78.55229,12,56.974785,1.0539695,70.824936,27.592588,224.96,132.76,2,0,302,29.175064,0.0,1.5244828,294.23,5.52,38.88352,589,81.25881,3,1094,3.5614915,256.45,31.016607,116,2429,0,111.6,99.91,65.91,55.88,0,12.904926,65.6096
0,27.539743,2645,106.5,40.890465,1.3065128,12,2684,1,201.37856,24.938452,33.06632,False,135.07,96.8,66.666664,2749,206,30.49,3,0.1,206.47,107.81,0,88.7,1,349,532,145,255.46,82,55.652172,4.67,123.57,65.42916,95.19,38.24,27.224148,15.355896,1,5.0,14.964749,47,41.28,6,34.570835,97.31,63,89.14,394062,71.46933,175,57.763542,11.513911,73.36896,27.27171,233.87,43.4,9,0,549,26.631042,0.1,5.6512985,248.1,20.2,13.474914,1081,69.41025,7,1280,9.466593,262.25,30.054646,390,3353,2,131.7,97.48,51.0,53.49,17,40.66904,32.46116
0,30.365128,3300,120.8,33.22156,2.78013,12,3170,3,235.84204,29.762074,37.50621,False,80.37,88.8,100.0,3051,208,49.08,1,1.4,191.26,103.5,1,97.8,1,53,810,223,225.87,140,56.869564,9.85,124.94,64.7361,105.56,81.51,33.46881,13.635772,2,2.0,15.478409,38,40.88,7,35.2639,118.58,83,105.45,403517,63.751057,89,53.982502,26.526295,70.20688,30.539093,229.36,44.65,9,0,456,29.79312,0.47,4.5948467,232.58,16.28,13.863016,1266,65.64308,9,1308,15.238451,248.75,27.570791,306,3490,1,107.0,108.2,41.9,54.84,59,26.1553,33.682636
1,43.31222,3502,86.0,23.006708,0.5631013,12,3482,33,304.39642,38.624786,26.70144,False,52.04,142.8,0.0,3492,249,76.08,0,4.31,233.44,79.65,1,139.5,0,215,1473,48,214.56,0,62.826088,1.99,108.43,69.318054,77.18,84.83,38.723827,30.062342,0,2.0,13.409733,15,52.26,4,30.681948,136.85,48,136.5,448090,60.713074,234,66.05546,27.400757,78.16135,20.534803,244.97,39.24,9,3,161,21.838657,0.13,5.73288,196.64,20.26,12.18331,1634,55.642326,17,1445,23.621462,276.23,44.33681,213,3508,0,74.1,72.57,93.07,47.39,0,16.809328,25.727575
2,16.766022,2153,173.0,58.184303,2.1492136,4,2292,28,467.21313,42.693233,53.713364,True,80.11,51.4,62.5,2325,421,53.0,8,3.0,152.31,98.03,0,54.0,3,134,1908,655,219.42,447,66.21739,7.68,103.69,70.98282,142.15,32.94,36.447083,35.223717,5,1.0,25.88851,57,48.36,20,29.017183,130.24,208,152.56,476761,61.403706,280,42.623272,10.108635,60.21996,31.488218,253.65,27.77,3,0,600,39.78004,0.11,9.80019,169.76,35.02,8.622082,2508,47.506577,22,1523,16.45554,215.19,15.958769,946,3900,5,187.4,112.52,114.78,92.51,51,24.584179,30.083473
0,57.4081,4699,37.4,17.324888,0.99085367,4,4696,9,176.97467,16.169828,11.612023,False,116.41,215.9,150.0,4607,163,66.31,2,4.0,263.35,66.14,1,184.9,0,190,560,184,280.12,94,44.217392,3.51,32.14,90.927055,39.21,67.95,19.932814,27.332327,1,1.0,4.104562,33,47.67,8,9.072946,70.61,90,57.28,302587,79.07633,40,74.34225,19.711649,88.93124,21.553183,322.1,20.33,3,1,390,11.068768,0.44,3.4157634,284.86,12.1,6.3120966,950,80.414406,6,1017,20.588053,315.03,67.033035,526,4012,3,55.8,76.35,94.22,14.54,5,33.769436,19.186586
0,25.956285,3667,101.6,21.330103,0.3730297,4,3585,8,211.06558,23.504333,31.54496,False,80.64,53.9,50.0,3480,181,38.83,2,2.67,171.95,82.66,0,83.6,0,39,631,210,255.7,20,51.260868,1.33,85.93,75.89824,122.2,83.63,27.909914,24.27783,1,1.0,16.318403,38,46.9,12,24.101759,99.51,190,83.8,359233,71.717064,168,48.22876,25.64551,65.72615,35.45284,270.6,29.02,3,0,502,34.273857,0.33,3.2311447,261.21,11.52,9.010184,1133,73.26452,8,1179,12.056012,234.34,16.734974,160,3496,1,68.7,126.4,79.17,58.18,79,24.728613,25.348055
